# vim: nowrap
#
# Spawn tables.
#

#"cleaner"              	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
#"hauler"               	   - 	   - 	   5 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -

#
# monster id                   unused -8/Pri  -7/Pri  -6/Lab  -5/Sin  -5/Pri  -5/Smi  -4/Pri  -3/Vlt  -3/Sin   3/Lab2 3/Lab3  3/Hold -2/Pri  -1/Pri -1/Cry -1/Cry2 -1/Cry3
"mellaent"                	 "" 	   - 	   - 	   5 	   - 	   - 	  10 	   2 	   2 	   - 	   2 	   1 	   - 	   2 	   2 	  - 	  - 	  -
"iron_spire"              	 "" 	   - 	   - 	   - 	   - 	   - 	  10 	  10 	  10 	   - 	  10 	  10 	  10 	  10 	  10 	  - 	  - 	  -
"lightning_spire"         	 "" 	   - 	   - 	   - 	   - 	   - 	  10 	  10 	  10 	   - 	  10 	  10 	  10 	  10 	  10 	  - 	  - 	  -
"calcite_spire"           	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	  10 	  10 	   - 	  10 	  10 	   5 	  10 	  10 	  - 	  - 	  -
"sentry_spire"            	 "" 	   - 	   - 	  10 	   - 	  10 	  10 	  10 	  10 	   - 	   5 	   5 	  10 	  10 	  10 	  - 	  - 	  -

"guard"                   	 "" 	 100 	  90 	  25 	   - 	  80 	   - 	  70 	  60 	   - 	  50 	  40 	  30 	  50 	  40 	  - 	  - 	  -
"armored_guard"           	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	  30 	  40 	   - 	  50 	  60 	  70 	  50 	  60 	  - 	  - 	  -

"javelineer"              	 "" 	   - 	  10 	  10 	   - 	  10 	   - 	  10 	  20 	   - 	  20 	  20 	  20 	  45 	  45 	  - 	  - 	  -
"executioner"             	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	  10 	  10 	   - 	  10 	  10 	   - 	  20 	  20 	  - 	  - 	  -
"patrol"                  	 "" 	  25 	  25 	   - 	   - 	   5 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
"enforcer_guard"          	 "" 	   - 	   - 	   - 	   - 	  20 	  25 	  20 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
"enforcer_armored_guard"  	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	   5 	   - 	   - 	   - 	   - 	   - 	  25 	  25 	  - 	  - 	  -
"watcher"                 	 "" 	  45 	  45 	 100 	   - 	  45 	  25 	  45 	 100 	   - 	 100 	 100 	 100 	  45 	  45 	  - 	  - 	  -

"hulk_swollen"            	 "" 	   - 	   - 	   - 	 100 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
"hulk_thrashing"          	 "" 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	 100 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -

"lead_turtle"             	 "" 	   - 	   - 	  40 	   - 	   - 	   - 	   - 	  40 	   - 	  40 	  40 	   - 	   - 	   - 	  - 	  - 	  -
"iron_wasp"               	 "" 	   - 	   - 	  20 	   - 	   - 	   - 	   - 	  10 	   - 	  10 	  10 	   - 	   - 	   - 	  - 	  - 	  -
"copper_hornet"           	 "" 	   - 	   - 	  10 	   - 	   - 	   - 	   - 	  20 	   - 	  20 	  20 	   - 	   - 	   - 	  - 	  - 	  -

"dustling"                	 "" 	   - 	   - 	   - 	   - 	   - 	  60 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
"vapour_mage"             	 "" 	   - 	   - 	   - 	   - 	   - 	  60 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
"convult"                 	 "" 	   - 	   - 	   - 	   - 	   - 	  30 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -

"bone_rat"                	 "" 	   - 	  15 	  15 	   - 	  15 	  10 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	   - 	  - 	  - 	  -
