#
# Posters for the dungeon.
#
# vim: nowrap
#

# Random grafitti that can appear anywhere.
"ANY"	"fluff_any_1" 	"Protip! To defeat the burning brute, hit him until he's dead."
"ANY"	"fluff_any_2" 	"I used a grindstone on my best knife and IT BROKE."
"ANY"	"fluff_any_3" 	"Beware of the @!"
"ANY"	"fluff_any_4" 	"Can you believe it, the @ escaped again."

# Prison stuff
"PRI"	"fluff_pri_1" 	"A new shipment of prisoners from Traumbulnahl will arrive next week."
"PRI"	"fluff_pri_2" 	"Please do not feed the prisoners."
"PRI"	"fluff_pri_3" 	"WANTED: Obmirnul, human, escaped prisoner."
"PRI"	"fluff_pri_4" 	"Reinforcements from the company of Thornsthom Nath should be arriving by noon tomorrow."
"PRI"	"fluff_pri_5" 	"Korskuth ðalsmalbehl, goblin pikemaster, will be hanged tomorrow morning for attempted murder of a fellow guard."
"PRI"	"fluff_pri_6" 	"Unauthorized consumption of prisoners is punishable with up to 20 lashes."
"PRI"	"fluff_pri_7" 	"Naughty prisoners get extra solitary time."
"PRI"	"fluff_pri_8" 	"Rations will be halved for two weeks in preparation for the upcoming sewer maintenance. -- COG (probably)"
"PRI"	"fluff_pri_9" 	"An investigation is underway regarding the recent fire on the fourth floor."
"PRI"	"fluff_pri_10" 	"Executions will continue until prisoner morale improves."
"PRI"	"fluff_pri_11" 	"Where there's a whip, there's a will."
"PRI"	"fluff_pri_12" 	"The Necromancer is watching you."
"PRI"	"fluff_pri_13" 	"The Necromancer can see you."
"PRI"	"fluff_pri_14" 	"The Necromancer knows your thoughts."
"PRI"	"fluff_pri_15" 	"The Necromancer knows your loyalties."
"PRI"	"fluff_pri_16" 	"A goblin's honor is his loyalty."

# Laboratory
"LAB"	"fluff_lab_1" 	"Staffers should wear gloves and safety goggles at all times."
"LAB"	"fluff_lab_2" 	"Handling slade without permission is strictly forbidden."
"LAB"	"fluff_lab_3" 	"Handling slade without written permission is strictly forbidden."
"LAB"	"fluff_lab_4" 	"Handling slade without prior permission from the Head of Research is strictly forbidden."
"LAB"	"fluff_lab_5" 	"A inspection by the Head of Research on current safety practices will be conducted next week."
"LAB"	"fluff_lab_6" 	"The Head of Research is committed to ensuring that all staff remain safe during work shifts."
"LAB"	"fluff_lab_7" 	"Please read the appropriate manual(s) before operating machinery."
